batch	day	CTL04E	CTL01	CTL08A	CTL02A
DMSO	-2	0.33490	0.10340	0.24280	0.31890
DMSO	0	0.20600	0.22280	0.35470	0.21650
DMSO	0	0.20490	0.24120	0.34570	0.20820
DMSO	0	0.23750	0.22860	0.34540	0.18850
DMSO	5	0.10080	0.43810	0.27280	0.18830
DMSO	5	0.11320	0.43000	0.28770	0.16910
DMSO	5	0.10420	0.45770	0.27970	0.15830
DMSO	12	0.02400	0.72280	0.10770	0.14550
DMSO	12	0.01730	0.72410	0.11140	0.14720
DMSO	12	0.03560	0.69920	0.11190	0.15330
DMSO	25	0.00630	0.77980	0.06050	0.15340
DMSO	25	0.01180	0.78990	0.05780	0.14050
DMSO	25	0.20640	0.59540	0.05390	0.14420
AND	-2	0.33490	0.10340	0.24280	0.31890
AND	0	0.20600	0.22280	0.35470	0.21650
AND	0	0.20490	0.24120	0.34570	0.20820
AND	0	0.23750	0.22860	0.34540	0.18850
AND	5	0.11350	0.43410	0.25880	0.19360
AND	5	0.10250	0.44210	0.26600	0.18940
AND	5	0.10370	0.42500	0.26780	0.20350
AND	12	0.03120	0.61900	0.15170	0.19800
AND	12	0.03420	0.64070	0.15130	0.17380
AND	12	0.03850	0.65770	0.13670	0.16700
AND	25	0.01230	0.75210	0.07060	0.16500
AND	25	0.02390	0.75530	0.05340	0.16730
AND	25	0.00930	0.75650	0.07020	0.16400
CTL	-2	0.33490	0.10340	0.24280	0.31890
CTL	0	0.20600	0.22280	0.35470	0.21650
CTL	0	0.20490	0.24120	0.34570	0.20820
CTL	0	0.23750	0.22860	0.34540	0.18850
CTL	5	0.10260	0.48810	0.23500	0.17430
CTL	5	0.10900	0.51480	0.21960	0.15660
CTL	5	0.10390	0.48950	0.24880	0.15780
CTL	12	0.02090	0.75260	0.07650	0.15000
CTL	12	0.03770	0.68830	0.09910	0.17490
CTL	12	0.03490	0.75080	0.09670	0.11760
CTL	25	0.01430	0.77660	0.05950	0.14960
CTL	25	0.04940	0.72870	0.06480	0.15710
CTL	25	0.02650	0.75890	0.05940	0.15510
